Htno,Subcode,Subname,Internal,External,credits
13MT1D4301,G5602,HVDC TRANSMISSION,37,18,0
13MT1D4307,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,36,31,1
13MT1D4307,G4305,POWER QUALITY,37,12,0
13MT1D4307,G5602,HVDC TRANSMISSION,37,16,0
13MT1D4314,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,36,29,1
13MT1D4314,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,37,24,1
13MT1D4314,G4303,ELECTRIC DRIVES-I,36,37,1
13MT1D4314,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,36,39,1
13MT1D4314,G4305,POWER QUALITY,37,28,1
13MT1D4314,G5602,HVDC TRANSMISSION,37,24,1
13MT1D4317,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,39,32,1
13MT1D5802,G5801,CSE LAB,32,56,1
13MT1D5806,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,29,-1,0
13MT1D5806,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,33,-1,0
13MT1D5806,G0503,DATA BASE MANAGEMENT SYSTEMS,31,-1,0
13MT1D5806,G0504,OPERATING SYSTEM,33,-1,0
13MT1D5806,G0505,SOFTWARE ENGINEERING,33,-1,0
13MT1D5806,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,28,-1,0
13MT1D5806,G5801,CSE LAB,30,47,1
13MT1D5807,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,31,-1,0
13MT1D5807,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,33,-1,0
13MT1D5807,G0503,DATA BASE MANAGEMENT SYSTEMS,31,-1,0
13MT1D5807,G0504,OPERATING SYSTEM,33,-1,0
13MT1D5807,G0505,SOFTWARE ENGINEERING,33,-1,0
13MT1D5807,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,29,-1,0
13MT1D5807,G5801,CSE LAB,34,-1,0
