Htno,Subcode,Subname,Grade,Credits
20L31A5401,1000201205,Statistics for Data Science-I,O,3
20L31A5401,1005201201,Computer Organization,C,3
20L31A5401,1005201202,Web Design,B,3
20L31A5401,1005201203,Data Structures,B,3
20L31A5401,1005201211,Web Design Lab,O,1.5
20L31A5401,1005201212,Data Structures Lab,C,1.5
20L31A5401,1000201213,Physics of Materials Lab,A,1.5
20L31A5401,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5401,1000201121,Constitution of India,CP,-
20L31A5402,1000201205,Statistics for Data Science-I,A,3
20L31A5402,1005201201,Computer Organization,O,3
20L31A5402,1005201202,Web Design,C,3
20L31A5402,1005201203,Data Structures,B,3
20L31A5402,1005201211,Web Design Lab,A,1.5
20L31A5402,1005201212,Data Structures Lab,B,1.5
20L31A5402,1000201213,Physics of Materials Lab,O,1.5
20L31A5402,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5402,1000201121,Constitution of India,CP,-
20L31A5403,1000201205,Statistics for Data Science-I,C,3
20L31A5403,1005201201,Computer Organization,C,3
20L31A5403,1005201202,Web Design,C,3
20L31A5403,1005201203,Data Structures,C,3
20L31A5403,1005201211,Web Design Lab,A,1.5
20L31A5403,1005201212,Data Structures Lab,B,1.5
20L31A5403,1000201213,Physics of Materials Lab,A,1.5
20L31A5403,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5403,1000201121,Constitution of India,CP,-
20L31A5404,1000201205,Statistics for Data Science-I,O,3
20L31A5404,1005201201,Computer Organization,A,3
20L31A5404,1005201202,Web Design,B,3
20L31A5404,1005201203,Data Structures,A,3
20L31A5404,1005201211,Web Design Lab,O,1.5
20L31A5404,1005201212,Data Structures Lab,A,1.5
20L31A5404,1000201213,Physics of Materials Lab,O,1.5
20L31A5404,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5404,1000201121,Constitution of India,CP,-
20L31A5405,1000201205,Statistics for Data Science-I,B,3
20L31A5405,1005201201,Computer Organization,C,3
20L31A5405,1005201202,Web Design,C,3
20L31A5405,1005201203,Data Structures,D,3
20L31A5405,1005201211,Web Design Lab,A,1.5
20L31A5405,1005201212,Data Structures Lab,C,1.5
20L31A5405,1000201213,Physics of Materials Lab,A,1.5
20L31A5405,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5405,1000201121,Constitution of India,CP,-
Htno,Subcode,Subname,Grade,Credits
20L31A5406,1000201205,Statistics for Data Science-I,C,3
20L31A5406,1005201201,Computer Organization,D,3
20L31A5406,1005201202,Web Design,D,3
20L31A5406,1005201203,Data Structures,D,3
20L31A5406,1005201211,Web Design Lab,A,1.5
20L31A5406,1005201212,Data Structures Lab,C,1.5
20L31A5406,1000201213,Physics of Materials Lab,O,1.5
20L31A5406,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5406,1000201121,Constitution of India,CP,-
20L31A5407,1000201205,Statistics for Data Science-I,D,3
20L31A5407,1005201201,Computer Organization,D,3
20L31A5407,1005201202,Web Design,D,3
20L31A5407,1005201203,Data Structures,C,3
20L31A5407,1005201211,Web Design Lab,A,1.5
20L31A5407,1005201212,Data Structures Lab,C,1.5
20L31A5407,1000201213,Physics of Materials Lab,O,1.5
20L31A5407,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5407,1000201121,Constitution of India,CP,-
20L31A5408,1000201205,Statistics for Data Science-I,D,3
20L31A5408,1005201201,Computer Organization,D,3
20L31A5408,1005201202,Web Design,D,3
20L31A5408,1005201203,Data Structures,D,3
20L31A5408,1005201211,Web Design Lab,A,1.5
20L31A5408,1005201212,Data Structures Lab,C,1.5
20L31A5408,1000201213,Physics of Materials Lab,O,1.5
20L31A5408,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5408,1000201121,Constitution of India,CP,-
